s_city_id,s_city,s_lat,s_lon,e_city_id,e_City,e_lat,e_lon,Accepted,Count,TopFive
1,Saint Louis,38.648646,-90.241834,117,University of Missouri-Saint Louis ,38.70924,-90.30828,Yes,7,
1,Saint Louis,38.648646,-90.241834,118,University of Nebraska-Lincoln,40.820197,-96.700476,Yes,1,
1,Saint Louis,38.648646,-90.241834,119,University of Northern Iowa,42.514719,-92.459579,Yes,1,
1,Saint Louis,38.648646,-90.241834,120,University of South Alabama,30.695941,-88.184236,Yes,1,
1,Saint Louis,38.648646,-90.241834,121,University of Southern Indiana,37.958244,-87.674694,Yes,2,
1,Saint Louis,38.648646,-90.241834,122,University of Texas at Austin,30.284919,-97.734057,Yes,1,
1,Saint Louis,38.648646,-90.241834,123,University of Tulsa,36.151988,-95.946,Yes,5,
1,Saint Louis,38.648646,-90.241834,124,University of Wisconsin-Madison,43.076592,-89.412488,Yes,3,
1,Saint Louis,38.648646,-90.241834,125,Valparaiso University,41.463939,-87.043889,Yes,4,
1,Saint Louis,38.648646,-90.241834,126,Vanderbilt University,36.144703,-86.802655,No,1,
1,Saint Louis,38.648646,-90.241834,127,Walters State Community College,36.213212,-83.261904,Yes,1,
1,Saint Louis,38.648646,-90.241834,128,Washington University in Saint Louis,38.64879,-90.310796,No,1,
1,Saint Louis,38.648646,-90.241834,129,Webster University ,38.589288,-90.343767,Yes,5,
1,Saint Louis,38.648646,-90.241834,130,Western Kentucky University ,36.985354,-86.456138,Yes,1,
1,Saint Louis,38.648646,-90.241834,131,Wittenberg University,39.93655,-83.813903,Yes,1,
1,Saint Louis,38.648646,-90.241834,132,Xavier University of Louisiana ,29.963863,-90.107084,Yes,1,
